id,cnt
366,1481.38141542964
367,1497.874850051312
368,1837.324651979836
369,2038.9558601155313
370,2000.7833314591458
371,2161.526655055027
372,2443.0585308307936
373,2254.7359459908826
374,2130.3053400822755
375,1970.9874537264645
376,1749.1758431068524
377,2145.1849937582706
378,1898.864919923062
379,1734.7200758744455
380,1420.6345694885513
381,1232.6620418356342
382,1626.5969705259522
383,1904.9864280323147
384,2059.1722359571045
385,1720.0611624727326
386,1232.7872731059929
387,1550.0939379412905
388,1445.626087909435
389,2500.210043252192
390,1545.9185557637727
391,2429.8644127742755
392,2104.2000152053743
393,2363.1439601018164
394,1777.736112079558
395,1711.6729564171674
396,2229.163325838905
397,4259.5860145873285
398,2222.4185963522145
399,2500.9381990792713
400,1917.6122317236297
401,1126.875297968993
402,2042.9909757007472
403,2551.188899990591
404,2139.9484842465795
405,1732.5964758399455
406,2049.302905312777
407,1355.4034216921132
408,1455.6788324541521
409,1954.9336671625579
410,2214.2607961895706
411,2150.9392107653343
412,2624.5773072088673
413,2558.4241967516336
414,2295.851843531572
415,1476.6674711649023
416,1311.0821576625146
417,2074.848228777594
418,2597.836434919512
419,3300.6433345028117
420,2135.7955952245534
421,1311.0466072939203
422,1845.0282286498032
423,2463.632426695895
424,2457.827609009888
425,1790.1634520991734
426,4001.926399244198
427,2240.452582687548
428,2692.5140996433406
429,1928.1412071041632
430,1679.7441945400162
431,1755.8902201327887
432,2371.750685246911
433,2897.4942021276697
434,2093.639210091198
435,1546.4303499467428
436,1939.6057453791852
437,4230.573951519363
438,4330.276694275712
439,4613.174513700532
440,4086.6449155763253
441,3063.6388234874034
442,4424.976492200814
443,4156.092349594234
444,4028.447286678784
445,4085.1094903091525
446,4310.254328401198
447,4575.6282596979445
448,4588.258904037383
449,3902.605221822327
450,2741.8592340831606
451,2809.5267332398203
452,2696.092768194384
453,4413.872174593646
454,4382.709169589861
455,2414.8978257175163
456,2360.766838315683
457,2642.444716730114
458,3219.238744075076
459,4711.579003359298
460,4424.177296742944
461,3207.0349788637927
462,2825.5808967430726
463,3274.430118712224
464,4180.261953254719
465,3970.066981608018
466,3207.0349788637927
467,2753.961292035921
468,2831.419650236127
469,3550.932177540999
470,4270.7129697150385
471,4402.927807504898
472,4260.484287864159
473,4746.7965473961085
474,4246.476193169037
475,4658.550665442714
476,4180.735732176551
477,4182.397897365738
478,1363.1094515289005
479,1889.6726544385835
480,2833.1217911482563
481,4501.886213394393
482,4005.7526365104773
483,3283.949197666128
